Title,Date Published,Author(s),URL,300-word Summary
"Interior, Environment, and Related Agencies: Overview of FY2025 Appropriations",9/4/25,Mark K. DeSantis; Carol Hardy Vincent,www.congress.gov/crs-report/R48267,"The Interior, Environment, and Related Agencies appropriations bill—often called the Interior bill—contains funding for about three dozen agencies and entities. They include most of the Department of the Interior and agencies within other departments, such as the Forest Service (Department of Agriculture) and the Indian Health Service (Department of Health and Human Services). The bill also provides funding for the Environmental Protection Agency, arts and cultural agencies, and other entities. Perennial issues for Congress include determining the amount, terms, and conditions of funding for agencies and programs. From the start of FY2025 on October 1, 2024, until March 15, 2025, Interior, Environment, and Related Agencies were funded at FY2024 levels, with certain exceptions, under short-term continuing appropriations resolutions. FY2025 full-year appropriations of $43.37 billion for the Interior bill were provided in the Full-Year Continuing Appropriations and Extensions Act, 2025 (P.L. 119-4), enacted on March 15, 2025. Most agencies and entities in the Interior bill received FY2025 appropriations at the FY2024 level, and some received lower appropriations in FY2025 than in FY2024. However, the total FY2025 appropriation was $2.04 billion (4.9%) more than the FY2024 total of $41.33 billion; this was due in part to increases for DOI wildland fire management, the Payments in Lieu of Taxes Program, the U.S. Forest Service, and the Indian Health Service, among other agencies and programs. Relative to other FY2025 proposed totals, the FY2025 appropriations law contained $666.4 million (1.6%) more than President Biden’s FY2025 request of $42.71 billion, $1.30 billion (3.1%) more than the FY2025 House-passed amount of $42.07 billion, and $1.56 billion (3.5%) less than the FY2025 Senate Appropriations Committee-reported total of $44.93 billion. The $43.37 billion was broken out unevenly across the three major titles in the FY2025 Interior bill, as is typically the case. DOI agencies in Title I received $15.25..."
"Proxy Advisor Regulation: Recent Litigation, State Law Developments, and Federal Legislation",9/4/25,Jay B. Sykes,www.congress.gov/crs-report/R48691,"Shareholders of public companies have the right to vote on certain matters—such as director elections, executive compensation plans, and shareholder proposals—at annual and special meetings. Today, most voting shareholders vote by proxy instead of attending annual and special meetings in person. Institutional investors (such as mutual funds and pension funds) dominate corporate voting because of their size and propensity to vote: institutions now own more than 70% of the U.S. stock market and vote their shares at considerably higher rates than retail investors. Many of these institutions retain proxy advisors to provide them with research, voting recommendations, and administrative services related to the proxy voting process. The proxy advisor industry has long been a subject of debate and scrutiny. In particular, critics argue that the leading proxy advisors—Institutional Shareholder Services (ISS) and Glass, Lewis & Co. (Glass Lewis)—exert an outsized influence on corporate governance, operate with conflicts of interest, fail to correct errors in their work product, and pursue social agendas that harm shareholder value. Defenders of proxy advisors contend that the industry’s influence is overstated and that its institutional clients are largely satisfied with the quality of its services. Proxy advisor regulation has received increased attention in the past several months. In July 2025, the U.S. Court of Appeals for the D.C. Circuit concluded that proxy voting advice does not constitute proxy “solicitation” under Section 14 of the Securities Exchange Act. Based on that holding, the D.C. Circuit affirmed a lower court decision vacating certain Securities and Exchange Commission (SEC) regulations concerning proxy advice. While the D.C. Circuit’s decision may limit the SEC’s authority to regulate proxy advisors under existing law, it is unlikely to end scrutiny of the industry. The previous month, Texas enacted a first-of-its-kind statute (Texas SB 2337) regulating proxy advice related to public companies incorporated..."
"Child Welfare: Purposes, Federal Programs, and Funding",9/2/25,Emilie Stoltzfus,www.congress.gov/crs-report/IF10590,"The Work of Child Welfare Agencies Children depend on adults—usually their parents—to protect and support them. The broadest mission of public child welfare agencies is to strengthen families so that children can depend on their parents to provide them with a safe and loving home. Child welfare agencies also aim to prevent abuse or neglect of children in their own homes. If this has already occurred, they must identify and offer services or referrals that aim to ensure children do not reexperience maltreatment. For some children, this means foster care. Federal child welfare policy has three primary goals: ensuring children’s safety, enabling permanency for children, and promoting the well-being of children and their families. Foster care is understood as a temporary living situation. When a child enters care, the first task of the child welfare agency is to provide services to enable the child to safely reunite with family. If that is not possible, then the agency must work to find a new permanent adoptive or legal guardianship family for the child. Youth in care who are neither reunited nor placed with a new permanent family are typically emancipated at their state’s legal age of majority. These youth are said to have aged out of care. Children Served During FY2023, public child protective services (CPS) agencies screened abuse or neglect allegations involving 7.8 million children and carried out investigations or other responses involving 3.1 million of those children. Among children receiving CPS services after such responses, an estimated 84% received them while living at home. More than 175,000 children entered care during FY2023. Neglect and/or parental drug abuse are the concerns most often linked with entry. Across all states, some 360,500 children were in care on the last day of FY2023. Among those for whom data were available, 79% lived..."
U.S. Agency for International Development: An Overview,9/5/25,Emily M. McCabe,www.congress.gov/crs-report/IF10261,"Background The U.S. Agency for International Development (USAID) served as the lead international humanitarian and development arm of the U.S. government. It was established in 1961, pursuant to Executive Order (E.O.) 10973, to implement components of the Foreign Assistance Act of 1961 (FAA). Congress codified USAID in statute in Section 1413 of the Foreign Affairs Reform and Restructuring Act of 1998 (Division G of P.L. 105-277; 22 U.S.C. 6563). Section 1522 of that law states, “The Administrator of the Agency for International Development, appointed pursuant to section 624(a) of the Foreign Assistance Act of 1961 (22 U.S.C. 2384(a)), shall report to and be under the direct authority and foreign policy guidance of the Secretary of State.” Secretary of State Marco Rubio announced on July 1, 2025, that “as of July 1st, USAID will officially cease to implement foreign assistance.” According to the statement, “Foreign assistance programs that align with administration policies—and which advance American interests—will be administered by the State Department.” In FY2024 (the most recent year for which complete data are available), USAID managed more than $35 billion in combined appropriations, representing more than one-third of the funds provided in the FY2024 Department of State, Foreign Operations, and Related Programs (SFOPS) appropriations and international food aid provided in the Agriculture appropriations. Some USAID appropriations accounts had been co-managed with the Department of State (State), making many calculations of USAID’s exact budget imprecise. (For more on SFOPS, see CRS Report R48231, Department of State, Foreign Operations, and Related Programs: FY2025 Budget and Appropriations.) According to the FY2023 Agency Financial Report (the most recent report CRS was able to access), USAID’s workforce totaled more than 10,000 at the end of FY2023, with approximately two-thirds serving overseas (not including institutional support contractors). The agency maintained more than 60 country and regional missions..."
Federal Research and Development (R&D) Funding: FY2026,9/3/25,Joe Angert; Rachel Lindbergh; Kavya Sekar; Emily G. Blevins; Marcy E. Gallo; Laurie Harris; Todd Kuiken,www.congress.gov/crs-report/R48694,"The U.S. government supports a broad range of scientific and engineering research and development (R&D). The purposes of this R&D include addressing national defense, public health, public safety, the environment, and energy security; advancing knowledge generally; developing the U.S. scientific and engineering workforce; strengthening the capacity of U.S. institutions and firms to conduct cutting-edge research and to develop innovative technologies; and enhancing the competitiveness of the United States in the global economy. Most of the R&D funded by the federal government is performed in support of the unique missions of individual funding agencies. Congress typically provides R&D appropriations through the annual appropriations process, including through 9 of the 12 regular appropriations bills, supplemental appropriations, or continuing resolutions. Using information provided by the Office of Management and Budget (OMB) regarding funding for activities and assets characterized as R&D, CRS calculated that President Trump’s budget proposal for FY2026 includes approximately $181.4 billion for R&D, $10.7 billion (-6%) below the FY2025 estimated level of $192.2 billion (see figure). The requested $181.4 billion, which includes advance and supplemental appropriations, would support federal investments in the conduct of R&D as well as R&D-related physical assets (such as the construction of R&D facilities or equipment). Federal Research and Development Funding, FY2024-FY2026 Request (budget authority, in current dollars) / Source: CRS, calculated from Office of Management and Budget, email communication with author, July 2, 2025. The majority of R&D funding is concentrated in a subset of federal agencies. For example, approximately 92% of the total R&D funding requested in the President’s FY2026 budget would go to five agencies—the Department of Defense (DOD), the National Institutes of Health (NIH), the Department of Energy (DOE), the National Aeronautics and Space Administration (NASA), and the National Science Foundation (NSF)—with DOD (62%) and NIH (15%), combined, accounting for 77% of all..."
U.S.-China Trade Relations,9/9/25,Karen M. Sutter,www.congress.gov/crs-report/IF11284,"The People’s Republic of China (PRC or China) is the second-largest global economy and has been a top U.S. trading partner since joining the World Trade Organization (WTO) in 2001. China is a key export market for U.S. aircraft, agriculture, semiconductor equipment/chips, gas turbines, and medical devices, and a top source of U.S. consumer goods and manufacturing intermediates (e.g., auto parts and active pharmaceutical ingredients). At the same time, U.S. firms face a lack of market access reciprocity, trade barriers in key areas, a growing PRC state role in commercial activity, expanding industrial policies, and rules governing economic security and data. Trade concerns raised by U.S. officials and executives since the 1990s have broadened into a U.S. government focus on strategic competition with the PRC. The executive branch and Congress have debated approaches and acted to counter PRC practices that challenge U.S. economic leadership, distort markets, and hinder fair competition. PRC Trade and Investment Terms The PRC government controls or influences the purchase, financing, and price of the top U.S. exports to China—aircraft, semiconductors, medical equipment, agriculture, and energy. It has sought to enhance control of this trade and reduce reliance on U.S. imports by diversifying trade with other countries and advancing industrial policies that exploit foreign commercial ties to develop PRC capabilities in top import sectors. The PRC government also funds some PRC firms in strategic areas and foreign acquisitions in priority areas with preferential lending and state-funded venture capital to gain capabilities. While foreign firms may initially fill PRC gaps with their products, services, and capabilities, PRC plans set targets to displace foreign firms once China gains competencies. Examples include Aerospace: To meet PRC terms, some U.S. firms have partnered with and transferred advanced U.S. technology to PRC state firms to jointly develop a PRC aircraft (C-919). Semiconductors:..."
Section 301 of the Trade Act of 1974,9/9/25,Andres B. Schwarzenberg; Danielle M. Trachtenberg,www.congress.gov/crs-report/IF11346,"Title III of the Trade Act of 1974 (Sections 301-310, 19 U.S.C. §§2411-2420), titled “Relief from Unfair Trade Practices,” is often collectively referred to as “Section 301.” Under Section 301, Congress grants the Office of the United States Trade Representative (USTR) a range of responsibilities and authorities to investigate and take action (e.g., impose a tariff) to enforce U.S. rights under trade agreements and respond to certain foreign trade practices. There are three ongoing investigations under Section 301 related to practices by the People’s Republic of China (PRC, or China), Nicaragua, and Brazil and one recently concluded investigation into PRC shipping practices. Tariffs on imports from China imposed in 2018 under Section 301 during the first Trump Administration remain in effect. The 119th Congress could consider the effectiveness of Section 301 actions in deterring certain foreign trade practices, the impact of actions taken under Section 301 on the U.S. economy, and whether the authorities are being used in the way Congress intends. Section 301 Investigations An investigation under Section 301 may occur if the rights of the United States under any trade agreement are being denied, or an act, policy, or practice of a foreign government (1) violates, is inconsistent with, or denies benefits to the United States under a trade agreement; or (2) is “unjustifiable” and “burdens or restricts” U.S. commerce. The law does not limit the scope of investigations and defines “commerce” to include services and investment. Initiation. Any interested person may file a petition with USTR requesting that the agency initiate an investigation under Section 301. USTR must determine whether to initiate an investigation within 45 days. The law does not specify criteria for USTR to use when determining whether to initiate an investigation from a petition. USTR may also “self-initiate” a case after consulting with appropriate..."
Russia’s War Against Ukraine: Diplomatic Talks and U.S. Policy,9/5/25,Cory Welt; Andrew S. Bowen,www.congress.gov/crs-report/IN12534,"Russia launched a full-scale invasion of Ukraine in February 2022. More than three-and-a-half years later, Russia and Ukraine remain engaged in Europe’s largest war in scope and scale since World War II. With estimates of over 1 million killed or wounded, and with Russia in control of about 20% of Ukraine’s territory, neither side appears poised to achieve a decisive military victory. Since taking office in January 2025, President Trump has made efforts to facilitate an end to the Russia-Ukraine war, which he has characterized as a “horrific and brutal conflict” that “should have never started.” In August 2025, President Trump held separate meetings with Russian President Vladimir Putin and Ukrainian President Volodymyr Zelensky, as well as a multilateral meeting with Zelensky and several European leaders. President Trump also has called for Putin and Zelensky to meet. Members of Congress may evaluate the costs and benefits of, and prospects for, U.S. mediation between Russia and Ukraine, including implications for U.S. strategic interests. Aspects of Negotiations Talks have addressed or may address a number of issues, including the following: Ceasefire or Comprehensive Settlement. August 2025 talks centered in part on the question of whether negotiations should seek to achieve an interim ceasefire prior to a comprehensive peace settlement. Ukrainian officials have expressed support for an initial ceasefire. Russian officials have said talks should instead focus on achieving a comprehensive settlement, including neutrality for Ukraine and constraints on Ukrainian military power. After initial talks in March 2025, the White House announced agreement on a partial ceasefire, but the agreement did not hold. Before his August meeting with Putin, President Trump stated he would not “be happy if I walk away without some form of a ceasefire.” In his subsequent meeting with Zelensky, President Trump said he likes “the concept of a ceasefire”..."
The Good Cause Exception to Notice and Comment Rulemaking,8/27/25,Jared P. Cole; Andrew S. Coghlan,www.congress.gov/crs-report/R44356,"If authorized by Congress, federal agencies can issue rules that bind the public with the force and effect of statutes. The Administrative Procedure Act (APA) generally requires agencies to provide public notice and opportunity for comment before they issue such rules, but the statute allows agencies to skip these steps when they “for good cause find” that compliance with ordinary rulemaking procedures would be “impracticable, unnecessary, or contrary to the public interest.” 5 U.S.C. § 553(b)(B). Agencies regularly invoke this “good cause” exception to issue a subset of their rules without any pre-publication notice or opportunity for public comment. In doing so, however, these agencies often provide opportunities for post-publication comment and issue superseding rules that respond to those comments. Federal courts have scrutinized agencies’ reliance on the good cause exception in dozens of cases. See, e.g., California v. Azar, 911 F.3d 558, 575–78 (9th Cir. 2018); United States v. Reynolds, 710 F.3d 498, 509–14 (3d Cir. 2013); Mack Truck, Inc. v. EPA, 682 F.3d 87, 93–95 (D.C. Cir. 2012). While these judicial inquiries are fact-bound and context-dependent, several generalizable patterns emerge. For instance, courts have widely held that the good cause exception should be narrowly construed, that rulemaking procedures are “unnecessary” only when agencies take non-discretionary actions or issue rules that are of little or no interest to the public, and that rulemaking procedures are most often “impracticable” or “contrary to the public interest” if regulatory delay would threaten public health or welfare—but only if those threats are documented in an administrative record. See, e.g., Util. Solid Waste Activities Grp. v. EPA, 236 F.3d 749, 754–55 (D.C. Cir. 2001); Hawaii Helicopter Operators Ass’n v. FAA, 51 F.3d 212, 214 (9th Cir. 1995). Courts sometimes reject agencies’ good cause findings. When they do so, courts may nullify rules that were..."
Syria: Transition and U.S. Policy,9/5/25,Christopher M. Blanchard,www.congress.gov/crs-report/RL33487,"Since the December 2024 collapse of the government of Bashar Al Asad, Syrians have pursued political and economic opportunities created by the end of the country’s twelve-year civil war. Internal tensions and external pressures pose obstacles to the country’s transition. Interim president Ahmed Al Sharaa led a group long designated by the U.S. government as a terrorist organization. Interim authorities have outlined a five-year transitional constitutional framework after limited consultation with Syrian citizens. Elections are planned in September 2025 for a partially and indirectly elected legislative assembly. The government does not exercise control over all of Syria, with areas of the northeast under the control of ethnic Kurdish-led forces and areas south of the capital, Damascus, controlled by members of the Druze religious minority. Authorities plan to delay elections in these areas. Turkish forces remain in parts of the north, while Israeli forces have moved into formerly demilitarized areas between Syria and Israel and into some Syrian territory near the frontier. Sectarian violence involving government forces, their backers, and members of minority communities has marred the transition in 2025, highlighting the interim government’s limited capacity to ensure security and impose discipline. In this context, some observers have expressed skepticism about the interim government’s commitments to inclusivity and the protection of all members of Syria’s diverse religious and ethnic fabric. Others have warned that opponents of the interim government may be exploiting communal tensions to advance their own agendas. The Trump Administration has outlined a policy of conditional support for the interim government, pairing endorsement of its leaders’ calls for the maintenance of Syria’s unity and territorial integrity with insistence that they adopt a protective and inclusive approach toward all Syrian communities. The United States is supporting dialogue between the interim government and authorities in areas of northeast Syria under the..."
"Marginal Effective Tax Rates: Changes in P.L. 119-21, the 2025 Reconciliation Act",9/8/25,Mark P. Keightley; Jane G. Gravelle,www.congress.gov/crs-report/R48631,"The 2025 reconciliation act, P.L. 119-21, commonly known as the One Big Beautiful Bill Act (OBBBA), made a number of changes that affect marginal effective tax rates (METRs) on investment. These changes largely extend or restore provisions enacted in the 2017 tax revision, P.L. 115-97, commonly known as the Tax Cuts and Jobs Act (TCJA). This report summarizes these changes and presents updated METRs. The OBBBA makes the individual rate reductions, pass-through deduction, and changes in the standard deduction enacted in the TCJA permanent; further increases the standard deduction and the amounts of income taxed at the two lowest marginal tax rates; reinstates 100% expensing (or bonus depreciation) for equipment and other shorter-lived assets (40% expensing was allowed in 2025); reinstates 100% expensing and basis adjustment for the tax credit for research investments; and provides 100% expensing for manufacturing structures. The individual provisions were already in effect for 2025, so the change for 2025 was primarily through the expensing provisions. Under both the TCJA and OBBBA tax regimes, the tax system favors equipment and intangible assets, but METRs on them are lower under the OBBBA regime. The most significant reduction was for manufacturing structures, where METRs fell from 23.5% to 1.9%. The aggregate tax rate for corporate assets fell from 12.5% to 7.0%, while the rate for noncorporate assets fell from 16.1% to 11.7%. The rate reductions under the OBBBA are larger when compared to the regime that would have occurred under pre-OBBBA law (under which expensing, the pass-through deduction, and lower individual rates would have expired in 2026): The METRs would have been 14.8% in the corporate sector and 24.4% in the noncorporate sector. Rates under the OBBBA in these sectors are lower than the rates in the TCJA before any phaseouts began (8.7% and 13.5%), and below pre-TCJA..."
Department of Veterans Affairs FY2025 Appropriations,9/8/25,Madeline E. Moreno; Jared S. Sussman; Sidath Viranga Panangala,www.congress.gov/crs-report/R48608,"The Department of Veterans Affairs (VA) administers numerous programs that provide benefits and services to eligible veterans and their families. These benefits include medical care, disability compensation, Dependency and Indemnity Compensation (DIC), pensions, education, vocational rehabilitation and employment services, assistance to homeless veterans, home loan guarantees, and administration of life insurance, as well as traumatic injury protection insurance for servicemembers and benefits that cover burial expenses. On March 11, 2024, President Biden submitted his budget proposal for FY2025. The Biden Administration requested $339.51 billion for VA. The request included $129.10 billion in discretionary appropriations and $210.41 billion in mandatory appropriations. The budget also requested $376.47 billion in advance appropriations for FY2026, including $22.80 billion for the Cost of War Toxic Exposures Fund (TEF). TEF funding is categorized as mandatory funding. In its budget submission to Congress, the Administration indicated that the lower discretionary budget request for FY2025 ($129.10 billion) compared with the FY2024 enacted amount ($134.77 billion) was based on the nondefense (or “nonsecurity”) discretionary limits (or “caps”) set by the Fiscal Responsibility Act of 2023 (P.L. 118-5). On June 5, 2024, the House passed its version of the Military Construction, Veterans Affairs, and Related Agencies Appropriations (MILCON-VA) bill for FY2025 (H.R. 8580; H.Rept. 118-528). The House-passed bill would have provided $339.64 billion for VA for FY2025, which included $129.22 billion in discretionary appropriations and $210.41 billion in mandatory appropriations. The House-passed bill (H.R. 8580, 118th Congress) would have provided $376.47 billion in advance appropriations for FY2026, including $22.80 billion for TEF. In July 2024, the then-VA Secretary notified Congress of a funding shortfall of $2.88 billion for the Veterans Benefits Administration (VBA) for FY2024 for mandatory benefits payments, and a $12.0 billion shortfall for TEF to cover medical care in FY2025. The Secretary attributed this shortfall to the increased..."
